1,pName,groupName,pPrice, pDesc,imgSrc,pOption,pActive, pRemark,spicy,ingredient,sauce-type,decorate,dish-type
59,Kao pad Goong,FRIED_RICE,10.75,Shrimp fried rice with egg; diced onions; bell peppers; carrots; and green peas.,R1.jpg,,1,,,i1000000000000000001111000000000001000,Oyster & soy sauce,,c1
60,Kao Pad Gai/ Moo/ Neau,FRIED_RICE,9.75,chicken; pork; or beef fried rice with egg; diced onions; bell peppers; carrots; and green peas.,R1.jpg,,1,,,i1000000000000000001111000000000001000,Oyster & soy sauce,,c1
61,kap pad saparot Mai Thai,FRIED_RICE,9.75,Pineapple;rice ;chicken; onions; carrots; bell peppers; green peas.,R1.jpg,,1,,,i0000010000000000001111000000000001000,Oyster & soy sauce,,c1
62,Kao Pad Kra Prow,FRIED_RICE,9.75,Ground chicken| Ground pork| Ground beef ; egg; mushrooms; basil.,R1.jpg,,1,,3,i1001000000000000000000000000000011000,Oyster & soy sauce,,c1
63,Tom Yum Gai,SOUP,3.25,Chicken in lemongrass soup with mushrooms;cilantro; and scallions,S1.jpg,,1,,2,i0001000000000000100000000000000000000,lemongrass soup,,b3
64,Tom Yum Goong,SOUP,3.75,Shrimp rn lemongross soup with mushrooms;cilantro; and scallions.,S2.jpg,,1,,2,i0001000000000000100000000000000000000,lemongrass soup,,b3
65,Tom Kha Gai,SOUP,3.5,Chicken in a hot & sour coconut soup with mushrooms;cilantro; and scallions,S3.jpg,,1,,1,i0001000000000000100000000000000000000,Hot & Sweet coconut soup,,b3
66,Goong Pad Ped,SEAFOOD,13.75,Shrimp with ground chili peppers stir-fried with garlic; onions; green beans; carrots; and basil,SF1.jpg,,1,,3,i0000001100001000000000000000000000000,garlic & ground chilli pepper,,o1
67,Goong Pad Num Prik Pao,SEAFOOD,14.75,Shrimp and chili oil cooked with onions; mushrooms; carrots; green onions; basil; and bell peppers,SF2.jpg,,1,,2,i0001001111000000000000000000000010000,chili oil,,o1
68,Pad Talay Mai Thai,SEAFOOD,15.75,A seafood medley sauteed in a spicy sauce with shrimp; scallops; squid; snow peas; mushrooms; basil; carrots; onions; bell peppers; green onions; and baby corn,SF3.jpg,,1,,3,i0011001111100000000000000000000010000,spicy and sour,,o1
69,Goong Pad pak,SEAFOOD,12.75,Shrimp sauteed with carrots; bell peppers; onions; green onions; mushrooms; baby corn; snow peas; and broccoli In garlic sauce,SF4.jpg,,1,,,i0111001111100000000000000000000000000,spicy sauce,,o1
